token_id,background,face,clothing,hat,accessory,mask,combo_hash
35,dust_beige,soy_glasses_open_mouth,beige_jacket_orange_scarf,cap_pilot_blue_airline,accessory_glasses_rectangle_outline,none,6914af0bbf770b6b94f82fd8c2377694b3763529bacaa0c79ab0c17b6a8c99bd
36,void_black,wojak_sweating_stressed,tactical_saddle_backpack,cap_nintendo_red,accessory_glasses_black_orange_accent,none,37026216ce4e5e4df3b6a8b844bf000147626d511ca775246f30f5e17cf48257
37,dust_beige,sad_closed_eyes,white_shirt_black_bow_tie,bandana_green,accessory_black_cape_flowing,none,65d0cadb9c37c52bc4adb9e1aa9ce60088df0e717ea07d8f78ef569333f985c1
38,slate_gray,confused_squint,black_jacket_green_stripes,bucket_frog_green_pepe,none,none,2137d5697a7b938f616f793bccee1a7d3588e4179e1ee4a145d169d992cea79e
39,dust_beige,jeff_killer_smile,blue_vneck_sweater_white_shirt_tie,fedora_dark_brown,accessory_sunglasses_black_rectangular,none,0796032dad731d83d64de44f90728c7d86b8a33d07c2dde3951cf178f21add9c
40,void_black,sad_dark_circles,brown_uniform_yellow_stars_collar,fedora_blue_black_band,accessory_chain_necklace_black,none,ee8847dadc4d1798280defd7bdadc6aa42508d88347253d95f3ebb3462b070d7
41,void_black,happy_content,red_dress_uniform_medals,bicorne_black_napoleon,none,none,9d5875c8b1955291fbf5cf4d7837b7f0db592d89a44c1213c9f24673fd72a7ac
42,blood_maroon,soy_glasses_open_mouth,gray_polo_shirt,gambler_gray,accessory_glasses_tan_reading,none,18561911da09a021a9119fd61b38406808e9e280fa21f89288f261c4f06acc5c
43,dust_beige,happy_smiling,tan_blazer_navy_shirt,ranger_hat_brown_badge,none,none,40744cede3dc717f9ed933890678654e98d1601bd657ce0e4ffbc5f53ad87245
44,blood_maroon,very_sad_depressed,mcdonalds_uniform,bucket_checkered_red_white,accessory_sunglasses_palm_tree_reflection,none,675587385f9f68cc1274a10810d742ce61cf4848790385848fb2b4c2c6117dfb
45,dust_beige,tired_heavy_eyes,black_button_shirt,bandana_red,accessory_glasses_round_reflective,none,d67b9f73cbbefbba15e97d951a3dd2b6ae8a4fe521784af60e46e2feb66b9473
46,muted_blue,wojak_wrinkled_neutral,denim_jacket_bandana,cap_propeller_multicolor,accessory_glasses_rectangle_outline,none,0deb4c3f1ce3b9d5844b7d114450670ba8ee01db6c061f46b37ef71b2f9ff174
47,gold_wash,angry_soy_glasses,black_jacket_green_stripes,cap_gray_meme_pepsi,accessory_pipe_brown,none,20385bf4ca59f90a04c1ab2964047b3ff71e30d8646e3864f2ca2a4277f3924c
48,slate_gray,tired_neutral,black_blazer_brown_tshirt,cap_white_black_maroon_panels,accessory_glasses_rectangle_glare,none,dc2ad5458e2b6780c73f915813d6b7a13e907666a2f7f18aab2d8de90530695a
49,hot_pink,very_sad_depressed,gray_polo_shirt,cap_black_down_only,accessory_brown_scarf,none,e5c73d6d76534dcf0e056aebb5b6f7891d613c41ed5f28c1e8947d3df915a0ce
50,void_black,sad_stubble,mcdonalds_uniform,cap_san_andreas_black,accessory_sunglasses_gold_white_aviator,none,07ec8011ac9661e9fefce210feffc156cc32ada59337c847de9ce39f6608f8d9
